Channel,Quality Axis 1,Quality Axis 2,Factor Plane Quality
Channel 1,0.02221721739176133,0.007309415735225264,0.02952663312698659
Channel 2,0.000739295165225462,0.0036165655462600363,0.004355860711485499
Channel 3,0.0003915470182789495,0.0036111994388831783,0.004002746457162128
Channel 4,0.005229104253367359,7.43360903739663e-05,0.005303440343741326
Channel 5,0.011926367742176909,0.026849868623008803,0.038776236365185714
Channel 6,0.05528961888163172,0.007419977075652593,0.06270959595728431
Channel 7,0.007405609749956167,0.00674977646094303,0.014155386210899196
Channel 8,0.012542429054580077,0.002191207217089235,0.014733636271669313
Channel 9,0.0009417620901941964,0.00010425592966818183,0.0010460180198623781
Channel 10,0.002151541247074384,0.011855200710848387,0.01400674195792277
Channel 11,0.0019342769663392694,0.0013132617278682512,0.003247538694207521
Channel 12,0.0034858179129969745,0.046897060684122235,0.05038287859711921
Channel 13,0.0025683692378223395,0.013261094432809477,0.015829463670631816
Channel 14,0.0003668272886928502,0.028141877589385782,0.028508704878078633
Channel 15,0.020063530992773977,0.0031590299366607262,0.023222560929434703
Channel 16,0.03391390731567654,0.009012489498851767,0.04292639681452831
Channel 17,0.0007199910825795153,0.01503346445288443,0.015753455535463944
Channel 18,0.003603624866488033,0.018317362317931202,0.021920987184419236
Channel 19,0.007693819861859834,0.004218719494728851,0.011912539356588685
Channel 20,0.010224873799320307,0.004776999339256591,0.015001873138576899
Channel 21,0.0020209338055621317,0.00010837489543727052,0.002129308700999402
Channel 22,0.0001228815063498242,0.024327080297408387,0.024449961803758212
Channel 23,0.016940862221900208,0.004571507169145219,0.02151236939104543
Channel 24,0.0003190037146908033,0.010449197409357519,0.010768201124048322
Channel 25,4.008250151575199e-06,2.7659682233123518e-05,3.166793238469872e-05
Channel 26,0.005213156733630992,0.0001407754690839589,0.005353932202714951
Channel 27,0.0018350318213891173,0.003617859124294573,0.00545289094568369
Channel 28,0.024321772193187437,0.0006582851071067298,0.024980057300294168
Channel 29,0.0043711378990989435,6.567883285696759e-05,0.004436816731955911
Channel 30,0.03156389067547183,0.0009185411554320987,0.03248243183090393
Channel 31,0.01375303483169362,0.008652431514913865,0.022405466346607485
Channel 32,0.013591649489159254,0.013141106853727321,0.026732756342886577
Channel 33,0.003010161290586935,0.021157242652810937,0.02416740394339787
Channel 34,0.010443241044352224,0.010089680026882375,0.020532921071234597
Channel 35,0.04528605590519994,0.00294716750277285,0.04823322340797279
Channel 36,0.001831796172957464,0.03919815671836671,0.041029952891324176
Channel 37,0.001966942998473958,0.004601854285980277,0.006568797284454235
Channel 38,0.016192423833984577,0.025045366075923593,0.041237789909908174
Channel 39,1.5367856499518e-05,0.0008514544010945789,0.0008668222575940968
Channel 40,0.007932968642398426,0.01881602647400562,0.026748995116404044
Channel 41,0.028670391144555624,0.0073186319191903704,0.035989023063745997
Channel 42,3.131078466899687e-05,0.007719656260802178,0.007750967045471175
Channel 43,0.00046035749668117335,6.760092444039689e-05,0.0005279584211215703
Channel 44,0.003801560793779677,0.0024516985718154335,0.00625325936559511
Channel 45,0.0011968455566970654,0.00469649607597409,0.005893341632671156
Channel 46,0.0345581336476661,0.039459979797050966,0.07401811344471707
Channel 47,0.017047329132386997,0.003809104278552924,0.02085643341093992
Channel 48,0.0004245924801192646,0.025206992192683478,0.025631584672802743
Channel 49,0.0028608522008819275,0.03780550797092589,0.04066636017180782
Channel 50,0.0018434536884918144,0.0022130083565044386,0.0040564620449962535
Channel 51,0.0049497506327939355,0.009746672621979752,0.014696423254773688
Channel 52,0.00618076424165598,0.006484118726382743,0.012664882968038723
Channel 53,0.0005968155626000472,0.017977995241883888,0.018574810804483935
Channel 54,0.0001715380329064458,0.010265400370464074,0.010436938403370519
Channel 55,0.03920778982467359,0.003474895065409438,0.042682684890083034
Channel 56,0.0003790062048208965,0.0008429865306900573,0.0012219927355109539
Channel 57,0.008079548212414035,0.0011350380960850127,0.009214586308499048
Channel 58,0.002619326400272435,0.01207690133722926,0.014696227737501694
Channel 59,0.0030825674668338047,5.8044966791153456e-05,0.003140612433624958
Channel 60,1.7934502278940785e-05,0.0057341009985049304,0.005752035500783871
